embedding_model,chunk_size,similarity_threshold,embedded_chunks,total_examples,errored,observed_recall,retrieval_recall,coverage,abstention_rate,f_easy_recall,f_med_recall,f_hard_recall,multi_hop_recall,oos_abstention,total_cost_usd,per_query_cost_usd,eval_elapsed_s
gemini-embedding-001,2500,0.7,30,78,0,0.8413,0.8413,1.0,0.0,0.95,1.0,0.8,0.6111,0.0,0.03475,0.000446,141.2
gemini-embedding-001,2500,0.75,30,78,0,0.8413,0.8413,1.0,0.1333,0.95,1.0,0.8,0.6111,0.1333,0.032759,0.00042,141.5
gemini-embedding-001,2500,0.8,30,78,0,0.4286,0.4286,0.5873,0.6667,0.65,0.3333,0.5,0.2222,0.6667,0.01191,0.000153,103.3
gemini-embedding-001,2500,0.85,30,78,0,0.0317,0.0317,0.0317,1.0,0.05,0.0667,0.0,0.0,1.0,0.000396,5e-06,63.5
gemini-embedding-001,5000,0.7,17,78,0,0.8254,0.8254,1.0,0.0,1.0,1.0,0.9,0.4444,0.0,0.050141,0.000643,140.8
gemini-embedding-001,5000,0.75,17,78,0,0.7619,0.7619,0.9524,0.1333,1.0,0.8,0.9,0.3889,0.1333,0.04175,0.000535,133.6
gemini-embedding-001,5000,0.8,17,78,0,0.2857,0.2857,0.3651,0.9333,0.5,0.2,0.4,0.0556,0.9333,0.008681,0.000111,88.3
gemini-embedding-001,5000,0.85,17,78,0,0.0159,0.0159,0.0159,1.0,0.0,0.0667,0.0,0.0,1.0,0.000377,5e-06,63.4
gemini-embedding-001,10000,0.7,10,78,0,0.6984,0.6984,1.0,0.0,1.0,0.8667,0.7,0.2222,0.0,0.06548,0.000839,149.2
gemini-embedding-001,10000,0.75,10,78,0,0.5397,0.5397,0.8571,0.4,0.95,0.4667,0.6,0.1111,0.4,0.041117,0.000527,127.8
gemini-embedding-001,10000,0.8,10,78,0,0.1587,0.1587,0.2063,0.9333,0.3,0.0667,0.3,0.0,0.9333,0.004342,5.6e-05,75.5
gemini-embedding-001,10000,0.85,10,78,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,62.4
gemini-embedding-2,2500,0.55,30,78,0,0.7937,0.7937,1.0,0.0,1.0,1.0,1.0,0.2778,0.0,0.034509,0.000442,140.9
gemini-embedding-2,2500,0.6,30,78,0,0.7778,0.7778,0.9841,0.0,0.95,1.0,1.0,0.2778,0.0,0.033259,0.000426,138.5
gemini-embedding-2,2500,0.65,30,78,0,0.6667,0.6667,0.8889,0.2667,0.9,0.6667,0.9,0.2778,0.2667,0.026034,0.000334,130.6
gemini-embedding-2,2500,0.7,30,78,0,0.3333,0.3333,0.5714,0.6,0.6,0.2667,0.3,0.1111,0.6,0.015116,0.000194,134.9
gemini-embedding-2,2500,0.75,30,78,0,0.1587,0.1587,0.254,0.8667,0.4,0.0667,0.1,0.0,0.8667,0.006039,7.7e-05,81.2
gemini-embedding-2,2500,0.8,30,78,0,0.0635,0.0635,0.0952,1.0,0.15,0.0667,0.0,0.0,1.0,0.001368,1.8e-05,70.3
gemini-embedding-2,2500,0.85,30,78,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,62.6
gemini-embedding-2,5000,0.55,17,78,0,0.8095,0.8095,1.0,0.0,1.0,1.0,1.0,0.3333,0.0,0.057421,0.000736,143.6
gemini-embedding-2,5000,0.6,17,78,0,0.7778,0.7778,0.9683,0.0,0.95,1.0,0.9,0.3333,0.0,0.054283,0.000696,141.0
gemini-embedding-2,5000,0.65,17,78,0,0.5873,0.5873,0.8254,0.2667,0.75,0.6,0.9,0.2222,0.2667,0.038853,0.000498,126.6
gemini-embedding-2,5000,0.7,17,78,0,0.254,0.254,0.4762,0.7333,0.5,0.1333,0.3,0.0556,0.7333,0.019295,0.000247,99.1
gemini-embedding-2,5000,0.75,17,78,0,0.1111,0.1111,0.2063,1.0,0.25,0.0667,0.1,0.0,1.0,0.006455,8.3e-05,76.0
gemini-embedding-2,5000,0.8,17,78,0,0.0317,0.0317,0.0635,1.0,0.1,0.0,0.0,0.0,1.0,0.00083,1.1e-05,63.8
gemini-embedding-2,5000,0.85,17,78,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,63.0
gemini-embedding-2,10000,0.55,10,78,0,0.8254,0.8254,1.0,0.0,1.0,1.0,1.0,0.3889,0.0,0.094995,0.001218,147.7
gemini-embedding-2,10000,0.6,10,78,0,0.7937,0.7937,0.9683,0.0667,0.95,0.9333,1.0,0.3889,0.0667,0.082031,0.001052,148.1
gemini-embedding-2,10000,0.65,10,78,0,0.5873,0.5873,0.7937,0.4,0.75,0.5333,0.9,0.2778,0.4,0.054204,0.000695,124.6
gemini-embedding-2,10000,0.7,10,78,0,0.2222,0.2222,0.3968,0.7333,0.5,0.1333,0.1,0.0556,0.7333,0.022398,0.000287,93.5
gemini-embedding-2,10000,0.75,10,78,0,0.0794,0.0794,0.1429,1.0,0.2,0.0,0.1,0.0,1.0,0.004623,5.9e-05,75.2
gemini-embedding-2,10000,0.8,10,78,0,0.0317,0.0317,0.0476,1.0,0.1,0.0,0.0,0.0,1.0,0.000477,6e-06,64.4
gemini-embedding-2,10000,0.85,10,78,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0.0,61.8
